date,produit,categorie,prix_unitaire,quantite,ca
2024-01-01,Crème mains nourrissante,Soin corps,28.5,2,57.0
2024-01-01,Huile d'argan marocaine,Cheveux,95.0,1,95.0
2024-01-01,Gel douche doux Uriage,Hygiène,32.0,2,64.0
2024-01-01,Patchs yeux Bio,Soin du visage,60.0,2,120.0
2024-01-01,Shampoing sec Klorane,Cheveux,45.5,1,45.5
2024-01-01,croquette ships chat,croquette,6.0,1,6.0
2024-01-01,litiere naturel,litiere,10.0,1,10.0
2024-01-01,croquette ships chat,croquette,6.0,1,6.0
2024-01-01,Patchs yeux Bio,Soin du visage,60.0,1,60.0
2024-01-01,Shampoing sec Klorane,Cheveux,45.5,1,45.5
2024-01-01,Patchs yeux Bio,Soin du visage,60.0,1,60.0
2024-01-01,Lotion nettoyante Bioderma,Soin du visage,78.0,1,78.0
2024-01-01,Crème mains nourrissante,Soin corps,28.5,1,28.5
2024-01-01,litiere naturel,litiere,10.0,2,20.0
2024-01-01,Shampoing sec Klorane,Cheveux,45.5,1,45.5
2024-01-01,Savon d'Alep bio,Hygiène,18.0,1,18.0
2024-01-02,croquette chien,croquette,6.0,1,6.0
2024-01-02,Huile d'argan marocaine,Cheveux,95.0,1,95.0
2024-01-02,croquette chien,croquette,6.0,1,6.0
2024-01-02,croquette chien,croquette,6.0,2,12.0
2024-01-02,Brumisateur d'eau thermale,Soin du visage,48.0,1,48.0
2024-01-02,Masque capillaire nourrissant,Cheveux,52.0,1,52.0
2024-01-02,Huile d'argan marocaine,Cheveux,95.0,1,95.0
2024-01-02,Complément alimentaire sommeil,Bien-être,75.0,1,75.0
2024-01-02,Savon d'Alep bio,Hygiène,18.0,2,36.0
2024-01-02,Complément alimentaire sommeil,Bien-être,75.0,1,75.0
2024-01-02,Lotion nettoyante Bioderma,Soin du visage,78.0,2,156.0
2024-01-02,Crème mains nourrissante,Soin corps,28.5,1,28.5
2024-01-02,Sérum anti-âge La Roche-Posay,Soin du visage,130.0,2,260.0
2024-01-02,croquette ships chat,croquette,6.0,1,6.0
2024-01-02,Lotion nettoyante Bioderma,Soin du visage,78.0,1,78.0
2024-01-03,Patchs yeux Bio,Soin du visage,60.0,2,120.0
2024-01-03,Patchs yeux Bio,Soin du visage,60.0,1,60.0
2024-01-03,Crème mains nourrissante,Soin corps,28.5,1,28.5
2024-01-03,litiere naturel,litiere,10.0,2,20.0
2024-01-03,Savon d'Alep bio,Hygiène,18.0,1,18.0
2024-01-03,litiere naturel,litiere,10.0,1,10.0
2024-01-03,Déodorant sans alcool,Hygiène,35.0,1,35.0
2024-01-03,Sérum anti-âge La Roche-Posay,Soin du visage,130.0,2,260.0
2024-01-03,croquette chien,croquette,6.0,1,6.0
2024-01-03,Gel douche doux Uriage,Hygiène,32.0,1,32.0
2024-01-03,Brumisateur d'eau thermale,Soin du visage,48.0,2,96.0
2024-01-03,Complément alimentaire sommeil,Bien-être,75.0,1,75.0
2024-01-03,Huile d'argan marocaine,Cheveux,95.0,1,95.0
2024-01-03,Sérum anti-âge La Roche-Posay,Soin du visage,130.0,2,260.0
2024-01-03,Gel douche doux Uriage,Hygiène,32.0,2,64.0
2024-01-03,Patchs yeux Bio,Soin du visage,60.0,1,60.0
2024-01-03,Gel douche doux Uriage,Hygiène,32.0,1,32.0
2024-01-04,Gel anti-douleur musculaire,Santé,40.0,1,40.0
2024-01-04,croquette ships chat,croquette,6.0,1,6.0
2024-01-04,Gel douche doux Uriage,Hygiène,32.0,1,32.0
2024-01-04,Savon d'Alep bio,Hygiène,18.0,1,18.0
2024-01-04,litiere chat cats ways,litiere,12.0,2,24.0
2024-01-04,Gel anti-douleur musculaire,Santé,40.0,2,80.0
2024-01-04,Masque capillaire nourrissant,Cheveux,52.0,2,104.0
2024-01-04,Lotion nettoyante Bioderma,Soin du visage,78.0,1,78.0
2024-01-04,Sérum anti-âge La Roche-Posay,Soin du visage,130.0,1,130.0
2024-01-04,Dentifrice Sensigel,Hygiène,22.0,1,22.0
2024-01-04,Dentifrice Sensigel,Hygiène,22.0,1,22.0
2024-01-04,Lotion nettoyante Bioderma,Soin du visage,78.0,1,78.0
2024-01-04,litiere naturel,litiere,10.0,1,10.0
2024-01-04,Brumisateur d'eau thermale,Soin du visage,48.0,1,48.0
2024-01-04,Déodorant sans alcool,Hygiène,35.0,1,35.0
2024-01-04,Huile d'argan marocaine,Cheveux,95.0,1,95.0
2024-01-04,croquette ships chat,croquette,6.0,1,6.0
2024-01-04,Sérum anti-âge La Roche-Posay,Soin du visage,130.0,1,130.0
2024-01-04,Shampoing sec Klorane,Cheveux,45.5,1,45.5
2024-01-04,Complément alimentaire sommeil,Bien-être,75.0,2,150.0
2024-01-04,litiere naturel,litiere,10.0,1,10.0
2024-01-04,Brumisateur d'eau thermale,Soin du visage,48.0,1,48.0
